order_item_id,order_id,product_id,quantity,price_at_order
1,3483,169,9,74.21
2,294,172,3,61.87
3,1189,93,7,88.69
4,683,53,1,83.36
5,2222,199,7,20.32
6,3799,116,2,9.7
7,4363,20,6,46.93
8,1984,24,6,97.26
9,2428,71,1,23.17
10,1473,83,7,43.82
11,446,102,1,37.71
12,2485,180,6,80.86
13,1771,105,2,90.85
14,4074,176,7,63.86
15,1968,170,7,15.58
16,4020,67,1,41.79
17,1125,153,9,95.92
18,3622,161,5,90.41
19,129,161,1,60.65
20,2533,145,5,83.98
21,513,109,9,83.68
22,4109,1,10,59.03
23,3501,14,5,28.91
24,168,23,9,84.46
25,4841,78,2,96.09
26,818,107,3,5.32
27,4020,27,6,20.67
28,2005,96,7,74.91
29,1806,59,4,85.48
30,81,85,8,61.61
31,1602,48,6,40.19
32,393,51,7,28.8
33,1213,55,9,30.84
34,2390,84,1,47.2
35,3507,107,10,56.39
36,2804,105,6,63.96
37,4513,68,2,45.2
38,2452,56,6,75.0
39,3974,14,2,86.91
40,3860,163,10,45.19
41,1416,127,6,45.74
42,1496,170,8,91.22
43,1345,41,4,32.35
44,576,114,1,60.67
45,2531,88,8,63.43
46,2131,85,7,90.07
47,3190,68,3,63.27
48,1901,107,10,89.3
49,2055,125,1,92.52
50,1625,43,10,32.57
51,4159,105,2,64.33
52,2140,178,6,25.34
53,3097,107,4,44.64
54,1101,75,3,89.47
55,4939,26,7,33.81
56,2724,153,10,93.52
57,1033,124,2,18.1
58,2476,172,8,20.25
59,2101,72,1,42.83
60,574,67,5,75.13
61,4238,99,7,34.65
62,464,52,2,46.5
63,10,41,7,20.06
64,3579,187,9,99.99
65,2954,127,9,12.9
66,2725,75,5,48.47
67,2938,186,3,14.79
68,4351,139,4,78.32
69,3967,197,10,47.04
70,2871,133,9,45.59
71,3778,53,9,93.15
72,2536,155,5,20.62
73,4770,163,8,69.29
74,4250,76,4,67.92
75,220,68,8,67.7
76,1885,171,3,83.89
77,2552,177,2,69.3
78,1770,25,5,92.46
79,588,166,10,45.04
80,1587,99,1,18.99
81,3582,129,3,43.35
82,3131,80,4,28.86
83,4520,133,1,19.99
84,474,55,3,85.31
85,3946,46,7,52.95
86,1733,159,6,74.87
87,2826,126,5,88.81
88,2264,87,8,37.14
89,3489,186,6,46.3
90,661,9,6,12.9
91,3015,154,9,11.53
92,3107,144,7,96.15
93,130,90,10,30.36
94,3688,189,10,63.39
95,4064,76,6,47.73
96,2601,167,5,47.42
97,769,166,6,76.55
98,819,6,6,50.48
99,268,42,1,53.85
100,372,69,10,67.43
101,3089,147,5,56.62
102,208,90,4,89.75
103,3864,195,6,93.9
104,3989,102,9,14.7
105,3893,159,2,17.69
106,3930,70,7,44.48
107,512,175,9,26.46
108,4565,13,1,77.49
109,2261,50,1,96.62
110,3399,4,9,68.61
111,3544,52,3,72.89
112,4816,137,6,37.88
113,1452,109,2,42.17
114,4729,148,5,43.91
115,3213,7,2,49.08
116,4660,9,1,68.98
117,1213,50,3,61.32
118,4217,86,10,55.63
119,640,98,8,15.37
120,3887,82,2,74.01
121,1658,199,2,28.61
122,4437,178,3,30.82
123,960,102,4,33.56
124,4514,84,4,71.94
125,4864,105,3,58.7
126,523,73,7,25.51
127,1812,136,10,86.53
128,4384,33,3,51.86
129,2512,161,8,25.66
130,574,70,2,63.93
131,1525,166,7,30.75
132,3845,75,8,59.5
133,1207,196,8,66.51
134,1347,69,7,37.75
135,4146,40,5,78.15
136,4839,57,8,12.91
137,832,125,2,46.6
138,120,90,5,78.7
139,4761,138,10,9.29
140,4542,46,1,85.28
141,4900,140,5,28.42
142,2379,132,2,53.4
143,2307,81,7,85.22
144,4704,2,8,94.09
145,1919,132,6,48.53
146,358,149,9,92.76
147,4388,99,4,39.47
148,4580,72,10,88.06
149,1232,139,6,44.59
150,2815,43,8,82.65
151,986,34,2,74.04
152,4287,67,1,60.38
153,1816,114,5,36.96
154,1195,21,7,82.85
155,2963,49,10,99.11
156,3237,44,6,13.24
157,580,48,5,57.75
158,3463,9,10,61.97
159,4440,119,3,96.57
160,1730,59,3,16.44
161,1922,26,9,42.68
162,2195,96,10,20.37
163,3682,184,9,78.42
164,4937,152,9,97.59
165,3441,39,10,61.26
166,710,123,6,6.06
167,671,154,1,9.27
168,1919,200,1,86.97
169,3838,108,10,42.29
170,3320,190,10,62.35
171,1594,136,10,43.25
172,753,172,3,14.97
173,1090,59,4,49.81
174,4886,131,2,63.37
175,1532,166,9,22.94
176,1396,193,1,80.62
177,4333,86,9,35.87
178,2804,76,5,69.69
179,2114,200,6,87.9
180,3771,192,7,6.73
181,4555,89,3,53.76
182,3736,178,10,31.71
183,2443,31,4,66.84
184,2675,127,5,76.52
185,2205,140,4,37.53
186,551,28,4,10.18
187,48,47,6,41.92
188,1999,142,9,67.15
189,228,155,9,23.91
190,2103,84,4,96.85
191,2498,24,10,20.8
192,492,139,6,86.93
193,536,71,6,66.87
194,4440,98,1,97.12
195,564,122,7,98.65
196,661,137,10,31.11
197,2493,133,1,29.12
198,384,94,9,29.11
199,1080,146,8,60.63
200,1882,94,10,22.71
201,3104,23,8,6.62
202,712,19,9,54.32
203,770,26,4,8.46
204,3924,110,5,94.66
205,690,185,10,30.18
206,2391,169,1,63.96
207,1875,26,1,68.54
208,3000,142,4,74.02
209,4658,42,1,73.58
210,3884,125,10,95.08
211,1542,96,8,60.66
212,3307,173,3,82.23
213,1826,96,4,13.7
214,1567,134,6,28.84
215,1810,21,6,52.54
216,4452,176,5,21.96
217,2822,198,8,54.0
218,1618,197,8,60.54
219,3349,16,1,21.44
220,4935,75,4,94.95
